Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"SSD Western Digital WD Green SN350 NVMe, 1TB, PCI Express, M.2",WDS100T3G0C,$847.00,$679.00,$99.00,111
"Tarjeta Madre ASUS Micro-ATX PRIME B550M-A WIFI II, S-AM4, AMD B550, HDMI, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",90MB19X0-M0AAY0,"$2,682.00","$2,249.00",$99.00,72
"Tarjeta Madre MSI Micro-ATX PRO H610M-G DDR4, S-1700, Intel H610, HDMI, 64GB DDR4 para Intel ― Requiere Actualización de BIOS para Procesadores Intel 13va. Generación",PRO H610M-G DDR4,"$1,525.00","$1,319.00",$99.00,437
"Memoria RAM Kingston FURY Impact DDR4, 3200MHz, 32GB, CL20, SO-DIMM, XMP",F432S20IB/32,"$1,284.00","$1,109.00",$99.00,4
"Memoria RAM HPE DDR4, 2933MHz, 32GB, CL21, Registered (Buffered)",P00924-B21,"$11,101.00","$1,989.00",$99.00,25
"Cartucho Brother LC107BK Negro, 1200 Páginas",LC107BK,$562.00,$142.00,$99.00,¡1
"SSD Adata FALCON NVMe, 1TB, PCI Express 3.0, M.2",AFALCON-1T-C,"$1,907.00",$909.00,$99.00,4
"SSD Western Digital WD Blue SN570 NVMe, 500GB, PCI Express 3.0, M.2 ― Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS500G3B0C,$890.00,$519.00,$99.00,27
"Memoria RAM HPE P06033-B21 DDR4, 3200MHz, 32GB, CL22",P06033-B21,"$17,563.00","$3,189.00",$99.00,106
"X-Case Caja ACCREDKE10, 1x RJ-45, 10 Piezas",ACCREDKE10,$365.00,$51.00,$99.00,5
"Memoria RAM Adata AD5U48008G-S DDR5, 4800MHz, 8GB, ECC, CL40",AD5U48008G-S,"$1,063.00",$482.00,$99.00,13
"Yeyian Audífonos Gamer Force S3000, Alámbrico, 2.2 Metros, 3.5mm, Gris",YDF-33401G,$412.00,$182.00,$99.00,592
"Zebra Rollo de Etiquetas Z-Select 4000T, 1.188"" x 0.84"", 3000 Etiquetas, 6 Rollos",10009522,"$1,169.00",$200.00,$99.00,48
"Router ASUS Gigabit Ethernet de Banda Dual RT-AC66U B1 AC1750 para Gaming con AiMesh, Inalámbrico, 1300 Mbit/s, 4x RJ-45, 2.4/5GHz, 3 Antenas",90IG0300-BA1000,"$2,019.00","$1,129.00",$99.00,153
"Panduit Módulo Ciego Gris, Paquete de 10 Piezas",CMBIG-X,$163.00,$22.00,$99.00,3
"SSD Western Digital WD Blue SA510, 250GB, SATA III, 2.5'', 7mm",WDS250G3B0A,$796.00,$446.00,$99.00,14
"Monitor Dell E1916HV LED 18.51'', HD, VGA, Negro",210-AGMG,"$2,157.00","$1,239.00",$149.00,227
"Jabra Cable GN1216 Avaya, QD Macho - RJ-9 Macho, 80cm, Negro",88001-04,$729.00,$115.00,$99.00,204
"SSD Western Digital WD Black SN850, 500GB, PCI Express 4.0, M.2, NVMe",WDS500G1X0E,"$1,808.00",$979.00,$99.00,¡1
"Memoria RAM Lenovo 4ZC7A08709 DDR4, 2933MHz, 32GB",4ZC7A08709,"$6,899.00","$1,619.00",$99.00,24
"Monitor AOC 24B2XHM LCD 23.8"", Full HD, 75Hz, HDMI, Negro",24B2XHM,"$3,513.00","$2,179.00",$144.00,49
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Menta",910-006377,"$1,271.00",$729.00,$99.00,7
"Memoria RAM Gigabyte DDR4, 2666MHz, 8GB, Non-ECC, CL16, XMP",GP-GR26C16S8K1HU408,$644.00,$408.00,$99.00,¡1
"Microsoft Windows 10 Pro Español, 64-bit, 1 Usuario, OEM",FQC-08981,"$5,269.00","$3,519.00",$99.00,¡1
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Negro",910-005281,"$1,286.00",$879.00,$99.00,6
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Azul",910-006013,"$1,245.00",$879.00,$99.00,8
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, Six-Core, 32MB L3 Cache - con Disipador Wraith Stealth",100-100000031SBX,"$2,604.00","$1,649.00",$99.00,81
"Logitech Audífonos Gamer G635 7.1, Alámbrico, 1.5 Metros, 3.5mm, Negro/Azul",981-000748,"$2,752.00","$1,919.00",$99.00,16
"Monitor AOC Essential-line 20E1H LED 19.5"", HD, Negro",20E1H,"$2,601.00","$1,439.00",$154.00,50
"Monitor Curvo Samsung LC34J791WTLXZX QLED 34'', Quad HD, Ultra Wide, FreeSync, 100Hz, HDMI, Bocinas Integradas, Gris Claro",LC34J791WTLXZX,"$18,457.00","$12,549.00",$189.00,41
"Logitech Bocina Z625 con Subwoofer, Alámbrico, 2.1, 70W RMS, Entrada Óptica, Negro",980-001258,"$4,734.00","$3,259.00",$144.00,¡1
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Lila",910-006021,"$1,029.00",$769.00,$99.00,¡1
"Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo",981-000755,"$1,297.00",$919.00,$99.00,13
"SSD PNY CS900, 240GB, SATA III, 2.5'', 7mm",D7CS900-240-RB,$578.00,$406.00,$99.00,26
"SSD XPG SX8200 Pro, 1TB, PCI Express 3.0, M.2, 3.5mm",ASX8200PNP-1TT-C,"$1,256.00",$899.00,$99.00,42
"Tablet Lenovo Tab M7 Gen3 7"", 32GB, Android 11, Gris",ZA8C0009MX,"$2,827.00","$1,389.00",$99.00,144
"Tarjeta Madre Gigabyte Micro ATX B550M DS3H AC Rev. 1.0, S-AM4, AMD B550, HDMI, 128GB DDR4 para AMD",B550M DS3H AC (REV. 1.0),"$2,163.00","$1,809.00",$99.00,43
"Xbox Live Gold, 1 Año ― Producto Digital Descargable",5T-00012,"$1,159.00",$899.00,Envío gratis,existencia
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Negro",910-005879,"$2,271.00","$1,769.00",$99.00,7
"Memoria RAM HPE DDR4, 2933MHz, 16GB, CL21, Dual Rank x8",P00922-B21,"$20,959.00","$6,479.00",$99.00,4
"Teclado Logitech K480 Multiplataforma, Inalámbrico, Bluetooth, Negro (Español)",920-006346,$816.00,$559.00,$99.00,52
"Apple AirPods (2da. Generación), Inalámbrico, Bluetooth, Blanco - incluye Estuche de Carga Alámbrico",MV7N2BE/A,"$3,999.00","$3,099.00",Envío gratis,124
"Dell Mochila ES1520P para Laptop 15"", Negro",460-BCTJ,$592.00,$409.00,$99.00,737
"SSD HP EX950, 512GB, PCI Express 3.0, M.2",5MS22AA,"$1,135.00",$659.00,$99.00,92
"Logitech Audífonos Gamer G433 7.1 para Xbox/PS4/Nintendo Switch, Alámbrico, 2 Metros, 3.5mm, Negro",981-000667,"$2,216.00","$1,609.00",$99.00,18
"Mousepad Gamer Primus Arena L, 39 x 31cm, Grosor 3mm, Negro/Morado",PMP-10L,$248.00,$83.00,$99.00,13
"Monitor LG 29WP500-B LCD 29"", Full HD, UltraWide, FreeSync, 75Hz, HDMI, Negro",29WP500-B,"$4,951.00","$3,979.00",$164.00,58
"Monitor Gamer LG 32MN500M-B LED 31.5"", Full HD, FreeSync, HDMI, Negro",32MN500M-B,"$5,059.00","$3,939.00",$159.00,442
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Rojo",CGC-500/RD,"$3,896.00","$2,949.00",$319.00,8
"Teclado Logitech K380, Inalámbrico, Bluetooth, Rosa (Español)",920-009594,$793.00,$619.00,$99.00,5
"Servidor HPE ML350 Gen10, Intel Xeon Silver 4210R 2.40GHz, 16GB DDR4, max. 48TB, 2.5"", SATA/SAS, Torre 4U, no Sistema Operativo Instalado ― No Incluye Discos",P21788-001,"$110,142.00","$38,829.00",$244.00,6
"Procesador AMD Ryzen 5 4600G Radeon Graphics, S-AM4, 3.70GHz, Six-Core, 8MB L3 Caché - con Disipador Wraith Stealth",100-100000147BOX,"$1,716.00","$1,469.00",$99.00,138
"Logitech Audífonos con Micrófono Zone Vibe 100, Bluetooth, Inalámbrico, Rosa",981-001223,"$1,588.00","$1,119.00",$99.00,6
"Logitech Webcam HD Pro Stream C922, 1920x1080 Pixeles, USB, Negro",960-001087,"$2,170.00","$1,609.00",$99.00,20
"Memoria RAM XPG Spectrix D60G RGB DDR4, 3600MHz, 8GB, Non-ECC, CL19, XMP",AX4U36008G18I-ST60,$600.00,$465.00,$99.00,¡1
"Cartucho Brother LC61C Cian, 325 Páginas",LC61C,$391.00,$201.00,$99.00,11
"Beats by Dr. Dre Audífonos Beats Solo3 Wireless, Bluetooth, Negro",MX432LL/A,"$4,499.00","$2,789.00",$99.00,60
"Monitor Gamer Samsung Odyssey G4 LED 25”, Full HD, G-Sync, 240Hz, HDMI, Negro",LS25BG400ELXZX,"$7,489.00","$5,759.00",$144.00,9
"Tablet Ghia Vector Slim 10.1”, 16GB, Android 10 Go Edition , Negro",GTVR10SB,"$2,184.00","$1,339.00",$99.00,114
"Logitech Bocina WONDERBOOM 2, Bluetooth, Inalámbrico, Negro - Resistente al Agua",984-001554,"$1,827.00","$1,359.00",$99.00,50
"Logitech Webcam HD Pro C920s con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-001257,"$1,485.00","$1,179.00",$99.00,393
"Logitech Audífonos Gamer G Pro, Alámbrico, 2 Metros, 3.5mm, Negro",981-000811,"$2,162.00","$1,699.00",$99.00,2
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Azul",CA-9011196-NA,$639.00,$495.00,$99.00,142
"Procesador AMD Ryzen 7 5700G, S-AM4, 3.80GHz, 8-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000263BOX,"$3,278.00","$2,749.00",$99.00,70
"Logitech Teclado Gamer G Pro RGB, Mecánico, Switch GX Blue, Alámbrico, Negro (Inglés)",920-009388,"$2,373.00","$1,899.00",$99.00,¡1
"Monitor Acteck 933858 LED 21.5"", Full HD, 75Hz, HDMI, Negro",AC-933858,"$1,726.00","$1,499.00",$144.00,40
"Logitech Kit Volante Driving Force G29, Alámbrico, USB 2.0, para PC/PlayStation 3/4",941-000111,"$5,073.00","$3,779.00",$149.00,18
"Logitech Sistema de Bocinas con Subwoofer Z906, 5.1, 500W RMS, Negro",980-000474,"$7,930.00","$6,259.00",$209.00,100
"SSD Adata Ultimate SU800, 512GB, SATA III, 2.5'', 7mm",ASU800SS-512GT-C,$899.00,$679.00,$99.00,159
"HP Adaptador HDMI Macho - VGA (D-Sub) Macho, 45cm, Negro",H4F02AA,"$1,069.00",$529.00,$99.00,47
"Fuente de Poder EVGA 700-K1 80 PLUS Bronze, ATX, 120mm, 700W",100-BR-0700-K1,"$1,878.00","$1,469.00",$99.00,73
"Memoria RAM Dell AB663419 DDR4, 3200MHz, 8GB, ECC — Fabricado por Socios Dell",AB663419,"$3,980.00","$1,669.00",$99.00,25
"Tablet Samsung Galaxy Tab A7 Lite 8.7"", 32GB, Android 11, Plata",M-T220NZSAMXO,"$3,140.00","$2,309.00",$99.00,49
"Procesador Intel Core i5-10400F, S-1200, 2.90GHz, Six-Core, 12MB Cache (10ma. Generación - Comet Lake) ― Requiere Gráficos Discretos",BX8070110400F,"$1,994.00","$1,629.00",$99.00,7
"SSD Western Digital WD_Black SN770 NVMe, 500GB, PCI Express 4.0, M.2",WDS500G3X0E,$838.00,$689.00,$99.00,10
"Procesador AMD Ryzen 5 5600G con Gráficos Radeon 7, S-AM4, 3.90GHz, Six-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000252BOX,"$2,234.00","$1,909.00",$99.00,117
Honeywell HF680-R1-2USB Lector de Código de Barras 2D - incluye Cables,HF680-R1-2USB,"$4,214.00","$2,859.00",$99.00,17
"Dell 429-AAUQ Quemador de DVD, DVD±RW 8x, USB 2.0, Externo, Negro",429-AAUQ,$934.00,$629.00,$99.00,675
"Memoria RAM XPG Spectrix D50 RGB DDR4, 3600MHz, 8GB, CL18, XMP",AX4U36008G18I-ST50,$637.00,$487.00,$99.00,91
"Fuente de Poder Balam Rush BR-931151 80 PLUS Bronze, ATX, 450W",BR-931151,$750.00,$619.00,$99.00,8
"Disco Duro para Servidor Seagate Exos X16 16TB SATA III 7200RPM 3.5"" 6Gbit/s",T16000NM001G,"$5,929.00","$3,769.00",$99.00,3
"Laptop Gamer Lenovo Notebook Legion 5 15ACH6H 15.6"" Full HD, AMD Ryzen 5 5600H 3.30GHz,16GB, 512GB SSD, NVIDIA GeForce RTX 3050 Ti, Windows 11 Home 64-bit, Español, Plata",82JW00LTLM,"$32,556.00","$21,139.00",$99.00,32
"SSD XPG GAMMIX S11 Pro, 512GB, PCI Express 3.0 x4, M.2",AGAMMIXS11P-512GT-C,$711.00,$569.00,$99.00,14
"SSD Adata Ultimate SU630 QLC 3D, 960GB, SATA, 2.5"", 7mm",ASU630SS-960GQ-R,$739.00,$599.00,$99.00,1055
"Logitech Audífonos Gamer G335 para PC/Xbox/PS4/Nintendo Switch, Alámbrico, 3.5mm, Negro",981-000977,"$1,352.00",$969.00,$99.00,4
"Monitor BenQ GW2280 LED 21.5'', Full HD, HDMI, Negro",9H.LH4LB.QBL,"$2,330.00","$1,979.00",$149.00,39
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$8,278.00","$6,499.00",$99.00,7
"Kit Gamer 3 en 1 Corsair Teclado K60 RGB Pro + Mouse Harpoon RGB Pro + Mousepad MM300, Alámbrico, USB, Negro (Inglés)",CH-910D519-SP,"$1,993.00","$1,419.00",$99.00,609
"Memoria Flash SanDisk para Nintendo Switch, 128GB MicroSDXC Clase 3",DSQXAO-128G-GNCZN,$505.00,$360.00,$99.00,112
"Multifuncional Brother DCP-T520W InkBenefit Tank, Color, Inyección, Tanque de Tinta, Inalámbrico, Print/Scan/Copy",DCP-T520W,"$4,258.00","$3,269.00",$154.00,83
"Procesador AMD Ryzen 7 5800X3D, S-AM4, 3.40GHz, 8-Core, 96MB L3 Cache - no incluye Disipador",100-100000651WOF,"$7,330.00","$6,119.00",$99.00,2
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$5,643.00","$4,149.00",$99.00,62
"Disco Duro para Videovigilancia Western Digital WD Purple Surveillance 3.5"", 3TB, SATA III, 6 Gbit/s, 5400 RPM, 64MB Caché",WD33PURZ,"$1,994.00","$1,489.00",$99.00,10
"Mouse Logitech Óptico POP, Inalámbrico, 4000DPI, Violeta/Menta",910-006550,$597.00,$469.00,$99.00,¡1
"Disco Duro para Servidor Western Digital WD Ultrastar 4TB SATA III 7200RPM 3.5"" 6 Gbit/s",0B35950,"$4,609.00","$2,969.00",$99.00,2
"Monitor AOC 22B2HN LED 21.5"", Full HD, 75Hz, HDMI, Negro",22B2HN,"$2,108.00","$1,529.00",$144.00,121
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1660 OC, 6GB 192-bit GDDR5, PCI Express x16 3.0",GV-N1660OC-6GD,"$6,783.00","$5,509.00",$99.00,27
"Laptop Gamer Lenovo Legion 5 15IAH7H 15.6"" Full HD, Intel Core i5-12500H 3.30GHz, 8GB, 1TB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home 64-bits, Español, Gris",82RB00PBLM,"$26,350.00","$21,379.00",$99.00,168
"Monitor Gamer Balam Rush Odissey LED 23.8"" Full HD, FreeSync, 144Hz, HDMI, Negro",BR-932417,"$3,210.00","$2,439.00",$144.00,23
"Gabinete ASUS TUF Gaming GT301 con Ventana, Midi-Tower, ATX/Micro-ATX/Mini-ATX, USB 3.2, sin Fuente, 4 Ventiladores Instalados, Negro",90DC0040-B49000,"$2,359.00","$1,979.00",$159.00,252
"SSD Western Digital WD Blue SN570 NVMe, 250GB, PCI Express 3.0, M.2 ―  Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS250G3B0C,$612.00,$446.00,$99.00,8
"Teclado Logitech MX Mechanical Mini TKL, Inalámbrico, Bluetooth, Grafito (Español)",920-010846,"$3,013.00","$2,679.00",$99.00,2
"Teclado Logitech Pop Keys, Teclado Mecánico, Inalámbrico, Menta/Violeta/Blanco/Amarillo (Español)",920-010714,"$1,823.00","$1,399.00",$99.00,2
"Teclado Logitech Touch K400 Plus, Inalámbrico, USB, Negro (Español)",920-007123,$837.00,$649.00,$99.00,161
"Astro Gaming Audífonos Gamer A10 para PS4/PS5/Xbox/PC/Mac, Alámbrico, 3.5mm, Negro/Azul",939-001594,"$1,021.00",$869.00,$99.00,74
"Xbox Live, 6 Meses ― Producto Digital Descargable",6T-00007,$839.00,$669.00,Envío gratis,existencia
"Mouse Logitech Óptico POP, Inalámbrico, Bluetooth, 4000DPI, Rosa Coral",910-006551,$647.00,$469.00,$99.00,¡1
"Disco Duro para Laptop Toshiba L200 2.5'', 1TB, SATA III, 6Gbit/s, 5400RPM, 128MB Cache",HDWL110UZSVA,$826.00,$679.00,$99.00,34
"Procesador Intel Core i3-12100F, S-1700, 3.30GHz, Quad-Core, 12MB Smart Cache (12va.  Generación - Golden Cove)",BX8071512100F,"$1,877.00","$1,689.00",$99.00,13
"Monitor Curvo Samsung LC24F390FHL LED 23.5'', Full HD, FreeSync, HDMI, Negro",LC24F390FHLXZX,"$2,910.00","$2,319.00",$154.00,125
"Tóner Brother TN-336 Negro, 4000 Páginas",TN336BK,"$2,071.00","$1,289.00",$99.00,18
"Mouse Gamer Ergonómico EVGA Óptico X20, Inalámbrico, Bluetooth/USB-A, 16000DPI, Negro",903-T1-20BK-K3,"$1,597.00","$1,069.00",$99.00,184
"Logitech Bocinas con Subwoofer Z313, 2.1, 25W RMS, Negro",980-000401,"$1,513.00","$1,149.00",$99.00,¡1
"SSD Crucial MX500, 500GB, SATA III, 2.5""",CT500MX500SSD1,$807.00,$679.00,$99.00,16
"Teclado Gamer Logitech G213 Prodigy LED RGB, Alámbrico, Negro, (Inglés)",920-008084,"$1,151.00",$909.00,$99.00,3
"Procesador AMD Ryzen 5 5600X, S-AM4, 3.70GHz, 32MB L3 Cache - incluye Disipador Wraith Stealth",100-100000065BOX,"$2,964.00","$2,589.00",$99.00,40
"Procesador Intel Core i3-10105F, S-1200, 3.70GHz, Quad-Core, 6MB Smart Cache (10ma Generación - Comet Lake)",BX8070110105F,"$1,330.00","$1,179.00",$99.00,15
"Game Factor Audífonos Gamer HSG500, Alámbrico, 1.5 Metros, 3.5mm, Negro",HSG500,$509.00,$384.00,$99.00,8
"Logitech Webcam C270, 3MP, 1280 x 720 Pixeles, USB 2.0, Negro",960-000947,$605.00,$456.00,$99.00,339
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Azul",CGC-500/BL,"$3,484.00","$2,949.00",$319.00,15
"TP-Link Cable Extensión de Baja Pérdida para Antenas, 12 Metros, Negro",TL-ANT24EC12N,$681.00,$225.00,$159.00,9
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1650 OC, 4GB 128-bit GDDR6, PCI Express 3.0 x16",GV-N1656OC-4GD,"$4,141.00","$3,029.00",$99.00,53
"Teclado Gamer Logitech G815 RGB, Teclado Mecánico, Switch GL Táctil, Alámbrico, Negro (Inglés)",920-008984,"$4,148.00","$3,609.00",$99.00,2
"Gabinete Yeyian Hollow 2500 con Ventana RGB, Midi-Tower, ATX/EATX/ITX/Micro ATX, USB 3.0, sin Fuente, sin Ventiladores Instalados, Negro/Blanco",YGH-49704,"$1,054.00",$909.00,$144.00,64
"Monitor ASUS ProArt PA248QV LED 24.1"", Full HD, 75Hz, HDMI, Bocinas Integradas (2 x 4W), Negro",90LM05L1-B013B0,"$4,495.00","$3,909.00",$154.00,18
"Teclado Gamer Ocelot Gaming Candy Blue 60 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Azul/Morado (Inglés)",CANDY BLUE 60-OC,$729.00,$579.00,$99.00,272
"Koblenz Batería de Reemplazo para No Break AB12, 12V, 9000mAh",46-4087-00-6,$743.00,$539.00,$99.00,16
"Procesador Intel Core i3-10100F, S-1200, 3.60GHz, Quad-Core, 6MB Caché (10ma Generación - Comet Lake)",BX8070110100F,"$1,205.00","$1,059.00",$99.00,23
"Cartucho Canon PG-140XXL Negro, 600 Páginas",5198B001AA,"$1,199.00",$729.00,$99.00,29
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, 32MB L3 Cache, con Disipador Wraith Stealth",100-100000031BOX,"$2,296.00","$1,969.00",$99.00,84
"TP-Link Cable de Extensión de Baja Pérdida para Antenas, 6 Metros, Negro",TL-ANT24EC6N,$418.00,$250.00,$99.00,16
"SSD Externo SanDisk Extreme Pro V2 NVMe, 1TB, USB-C, Negro",DSSDE81-1T00-G25,"$3,769.00","$2,969.00",$99.00,16
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Azul",981-000942,"$2,907.00","$2,549.00",$99.00,5
"Balam Rush Silla Gamer Thunder Rush 2, hasta 150Kg, Rosa",BR-932851,"$3,951.00","$3,049.00",$319.00,¡1
"Disco Duro Interno Toshiba L200 2.5"", 2TB, SATAIII, 6 Gbit/s, 5400RPM, 128MB Caché",HDWL120UZSVA,"$1,277.00","$1,089.00",$99.00,17
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Lila",981-000889,"$2,954.00","$2,619.00",$99.00,8
"Balam Rush Webcam Stelar CW750, 1920 x 1080 Pixeles, USB, Negro",BR-932974,$631.00,$441.00,$99.00,17
"Laptop Gamer Acer Predator Triton 300 SE PT314-52S-747P 14"" WUXGA, Intel Core i7-12700H 3.50GHz, 16GB, 512GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home 64-bit, Inglés, Gris",NH.QHMAA.001,"$25,041.00","$22,399.00",$99.00,55
"Logitech Sistema de Bocinas con Subwoofer Z607, Bluetooth, Alámbrico, 5.1, 80W RMS, USB, Negro",980-001315,"$2,485.00","$2,109.00",$149.00,3
"Multifuncional Epson EcoTank M2120, Blanco y Negro, Inyección, Tanque de Tinta, Inalámbrico,  Print/Scan/Copy",C11CJ18301,"$5,621.00","$5,079.00",$139.00,2
"Monitor ASUS VA24EHE LED 23.8"", Full HD, Adaptive-Sync, FreeSync, 75Hz, HDMI, Negro",VA24EHE,"$2,546.00","$2,239.00",$144.00,9
"Memoria Flash Adata Premier Pro, 512GB MicroSDXC UHS-I Clase 10, con Adaptador",AUSDX512GUI3V30SA2-RA1,"$1,114.00",$819.00,$99.00,26
"SSD Externo SanDisk Portable, 480GB, USB C, Negro",DSSDE30-480G-G25,"$1,505.00","$1,099.00",$99.00,19
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Blanco",981-000882,"$2,880.00","$2,589.00",$99.00,2
"Router Tenda Gigabit Ethernet de Banda Dual Firewall AC8 AC1200, Inalámbrico, 867Mbit/s, 4x RJ-45, 2.4/5GHz, 4 Antenas Externas 6dBi",AC8,$594.00,$408.00,$99.00,15
"Kit de Teclado y Mouse Dell KM5221W, Inalámbrico, USB, Negro (Español)",580-AJIU,$816.00,$609.00,$99.00,481
"Disco Duro Interno Western Digital WD Blue 2.5"", 2TB, SATA III, 6 Gbit/s, 5400RPM, 128MB Cache",WD20SPZX,"$1,405.00","$1,189.00",$99.00,84
"Monitor BenQ GW2283 LED 21.5"", Full HD, HDMI, Bocinas Integradas (2 x 2W), Negro",9H.LHLLA.TBL,"$2,163.00","$1,879.00",$149.00,4
"Monitor Samsung LS24A310NHLXZX LCD 24"", Full HD, HDMI, Negro",LS24A310NHLXZX,"$3,637.00","$2,669.00",$154.00,¡1
"Monitor Gamer ASUS VA24DQ LED 23.8"", Full HD, FreeSync, 75Hz, HDMI, Bocinas Integradas (2 x 2W), Negro",90LM0543-B013B0,"$3,032.00","$2,699.00",$154.00,3
"Memoria USB SanDisk Ultra Shift, 256GB, USB 3.0, Negro",DCZ410-256G-G46,$428.00,$290.00,$99.00,30
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Blanco",910-005941,"$2,721.00","$2,469.00",$99.00,4
"Monitor Lenovo D19-10 61E0 LED 18.5"", HD, HDMI, Negro",61E0KAR6US,"$2,230.00","$1,909.00",$149.00,21
"Memoria RAM Adata AD5U480016G-S DDR5, 4800MHz, 16GB, ECC, CL40",AD5U480016G-S,"$1,163.00",$889.00,$99.00,¡1
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Verde",CA-9011197-NA,$772.00,$599.00,$99.00,¡1
"Nexxt Solutions Extensor de Red Kronos301, 300 Mbit/s, 2x RJ-45, Antena 3 dBi",AEIEL304U2,$310.00,$140.00,$99.00,19
"LinkedPRO Módulo Transceptor LP-SFP-10G-SM-3 SFP+, LC, 10000 Mbits/s, 3km, 1310nm, 2 Piezas",LP-SFP-10G-SM-3,$912.00,$609.00,$99.00,380
"Logitech Webcam HD Pro C920 con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-000764,"$1,128.00",$909.00,$99.00,262
"Mouse Gamer Ergonómico Logitech Óptico G502 Hero RGB, Alámbrico, USB, 16.000DPI, Negro",910-005550,"$1,073.00",$929.00,$99.00,61
"Laptop Lenovo ThinkPad T14 G2 14"" Full HD, Intel Core i7-1185G7 3GHz, 32GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Negro",20WNS8L000,"$37,799.00","$24,829.00",$99.00,34
